Parent,Child,Conversion,Child Description,Child UOM
03395647,03395647EA,2,PLASTC CRYOBOX FR 15ML TUB 1EA,EA
03405A,03405AEA,3,WASH BTL ADJUSTABLE 235ML,EA
03406105,03406105EA,5,WASH BTL ML ACETONE 500ML 1EA,EA
03406106,03406106EA,5,WASH BTL ML ETHANOL 500ML 1EA,EA
03406107,03406107EA,5,WASH BTL ML IPA 500ML 1EA,EA
03406108,03406108EA,5,WASH BTL ML MEOH 500ML 1EA,EA
0340910C,0340910CEA,6,WASH BOTTLE LDPE 125ML,EA
0340910CC,0340910CCEA,6,WASH BOTTLE LDPE 500ML,EA
0340910D,0340910DEA,4,WASH BOTTLE LDPE 250ML,EA
0340910DD,0340910DDEA,4,WASH BOTTLE LDPE 1000ML,EA
0340910E,0340910EEA,4,WASH BOTTLE PE 500ML,EA
0340910F,0340910FEA,2,WASH BOTTLE LDPE 1000ML,EA
0340911A,0340911AEA,6,WASHBTL RTK ACETON 500ML,EA
0340911B,0340911BEA,6,WASH BTL RTK ETHANL 500ML 1/EA,EA
0340911C,0340911CEA,6,WSHBTL RTK METHANL 500ML 1/EA,EA
0340911D,0340911DEA,6,WSHBTL ISOPROPANOL 500ML,EA
0340911E,0340911EEA,6,WASH BTL DISTLD H2O 500ML 1/EA,EA
0340912E,0340912EEA,4,WASH BOTTLE PTFE FEP 500ML 1EA,EA
0340915C,0340915CEA,4,WASH BOTTLE WM 500ML EACH,EA
0340917B,0340917BEA,2,WASHBTL FLUOR SLVT 500ML,EA
0340917C,0340917CEA,6,WASHBTL LDPE 500ML RED 1/EA,EA
0340917D,0340917DEA,6,WASHBTL LDPE 500ML GREEN 1/EA,EA
0340917E,0340917EEA,6,WASHBTL LDPE 500ML BLUE 1/EA,EA
0340917F,0340917FEA,6,WASHBTL LDPE 500ML YELLOW,EA
0340920A,0340920AEA,4,W/B VRTK ACTN LDPE 500ML,EA
0340920B,0340920BEA,4,W/B VRTK ETOH LDPHE 500ML 1/EA,EA
0340920C,0340920CEA,4,W/B VRTK MEOH LDPE 500ML 1/EA,EA
0340920D,0340920DEA,4,W/B VRTK ISPRP LDPE 500ML 1/EA,EA
0340920E,0340920EEA,4,W/B VRTK DIH20 LDPE 500ML,EA
0340920F,0340920FEA,4,W/B VRTK BLCH HDPE 500ML 1/EA,EA
0340921A,0340921AEA,2,W/B UN VRTK ACTN LDPE 1L,EA
0340921E,0340921EEA,2,W/B UN VRTK DIH20 LDPE1L,EA
0340924B,0340924BEA,6,CRBY SNGLUSE HDPE STRL20L,EA
034099A,034099AEA,6,WSH BTL RTK 500ML,EA
03410142,03410142PK,10,ABC CAP PTFE/SIL/PTFENAT 100PK,PK
03411610,03411610EA,4,TAPE LABEL WRITE-ON WHT EA,EA
03411629,03411629EA,3,TAPE LABEL WRITE-ON WHT EACH,EA
03411720,03411720EA,4,WSHBTLACETONE GHSVENT500ML EA,EA
03411721,03411721EA,4,WASHBTLACETONEGHSVENT500ML 1EA,EA
03411722,03411722EA,4,WASHBTL DIH2O GHSVENT 500MLHS,EA
03411724,03411724EA,4,WASHBTL ETHYLACE VENT 500ML EA,EA
03411725,03411725EA,4,WSHBTL ISOPRP GHSVENT 500ML,EA
03411730,03411730EA,4,WASHBTL BLEACH GHSVENT 500ML,EA
03411731,03411731EA,4,WASHBTL TOLUENE GHSVENT 500ML,EA
03411732,03411732EA,4,WASHBTL WATER GHSVENT 500ML,EA
03411733,03411733EA,4,WASHBTL ETHANOL GHSVENT 500MLL,EA
03411735,03411735EA,2,WASHBTL ACETNE GHSVNT1000ML1EA,EA
03411738,03411738EA,2,WASHBTL METHANL GHSVENT 1000ML,EA
03411751,03411751EA,6,WM WSH BOTTLE NATURAL500ML 1EA,EA
03411752,03411752EA,6,WM WASH BOTTLE RED 500ML 1EA,EA
03422C,03422CEA,6,BOTTLE WEIGH 25X40MM,EA
0343812A,0343812AEA,6,BTL DY SPRY MIST DSP 16OZ,EA
0343814B,0343814BEA,12,BOTTLE LGTWGH HDPE 1GAL 1EA,EA
0344817,0344817EA,5,FOUR-WY MCRTB RCKS ASSRT 1/EA,EA
0344821,0344821EA,72,LATEX BULB 1ML,EA
0344822,0344822PK,6,LATEX BULB 2ML 12/PK,PK
0344822,0344822EA,72,LATEX BULB 2ML,EA
0344823,0344823EA,3,PIPET FILLER,EA
0344825,0344825EA,24,RUBBER BULB 1ML EA,EA
0344826,0344826EA,24,RUBBER BULB 3CC,EA
0352536,0352536EA,12,INSULTED MAILER 6WX8LX7H 1/EAS,EA
035257D,035257DEA,8,PACK REFRIGER U-TEK 32OZ 1/EA,EA
03528B,03528BEA,24,U-TEK REFG GEL PK 3/4LB 1/EA,EA
0353017,0353017EA,4,BIOMAILER INSUL W/CARTON,EA
0353032,0353032EA,2,BIOMAILER INSUL W/CARTON,EA
0353046,0353046EA,2,ULT INSUL CONTAIN 1IN 1/EA,EA
0353052,0353052EA,8,MULTI-PURP BIO-MAILER,EA
0353054,0353054EA,8,MULTI-PURP BIO-MAILR .33CU,EA
0353055,0353055EA,6,REAGT-PHARMACEUT SHIPPER,EA
0353063,0353063EA,6,MULTI-PURP FOAM CONT/W COR 1EA,EA
03532112,03532112EA,4,4.38 CUFT PUR SHPPR 1EA,EA
03570A,03570AEA,12,BRUSH FOR 250ML FLASK 1EA,EA
03570B,03570BEA,12,BRUSH FOR 500ML FLASK 1EA,EA
035725,035725EA,12,BRUSH TEST TUBE 13/8X4IN 1/PK,EA
03574,03574EA,12,BRUSH TEST TUBE MEDIUM,EA
03576,03576EA,12,BRUSH TEST TUBE SMALL,EA
03578,03578EA,12,BRUSH TEST TUBE,EA
03590,03590EA,12,BRUSH TEST TUBE,EA
03600222,03600222EA,12,NOMADIC PRE-QUALIFIED FROZEN S,EA
03608,03608EA,12,BRUSH CENT TUBE 9IN,EA
03614,03614EA,12,BRUSH BURET 2550ML,EA
03621A,03621AEA,12,BRUSH CYLINDER 12 IN,EA
03621B,03621BEA,12,BRUSH CYLINDER 20 IN 1EA,EA
03621C,03621CEA,12,BRUSH 30IN F/LIQ EXTRCTR 1EA,EA
03635,03635EA,12,BRUSH STIFF BRISTLE,EA
03636,03636E,12,BRUSH TUBE SOFT BRISTLE,EA
0364020,0364020EA,12,BRUSH SMALL TRACHEA TUBE 1/EA,EA
03641,03641EA,2,SPONGE STAINLESS STEEL 1/EA,EA
03670,03670EA,12,BRUSH CAMEL HAIR 5MM,EA
0368710,0368710EA,6,BUCKET GRAD 3-1/2 GAL GRAY,EA
04100511,04100511EA,10,CLIPTIP384 12.5EXTFLTR ST384EA,EA
04100517,04100517PK,10,REAGNTRSRVOIR 25MLDIVIDED10/PK,PK
04100518,04100518PK,10,EAGENT RESERVOIR 25ML 10/PK,PK
0432420,0432420EA,4,SPOR-KLENZ RTU 3200ML,EA
04355103,04355103EA,4,DESCAL ACID RINSE 1EA,EA
04355142,04355142EA,6,BATHBRITE 8OZ. 1/EA,EA
04355151,04355151EA,4,SDA ETHANOL 3A 190 PROOF 1EA,EA
04355222,04355222EA,24,ETHANOL PUR 200PRF 1PINT 1/EA,EA
04355223,04355223EA,4,ETHANOL PURE 200PRF 1 GAL 1/EA,EA
04355226,04355226EA,4,ETHANOL PURE 190PRF 1GAL EACH,EA
0435530,0435530EA,2,CONTRAD NF N/FOAM DETR 10L 1EA,EA
04355305,04355305EA,4,ETHYL ALCOHOL 140 PROOF 1/EA,EA
04355309,04355309EA,12,ETHYL ALCOHOL 140 PROOF 1EA,EA
04355350,04355350EA,19,140 PROOF ETHANOL 1 LITER,EA
0435541,0435541EA,4,CIDEHOL 60 IPA 1GAL 1/EA,EA
04355450D,04355450DEA,24,ETH ALC 200PRF TX DRCTSHP 1EA,EA
0435554,0435554EA,4,SANIHOL STERL ETOH 1GAL 1EA,EA
0435556,0435556EA,12,SANHOL STL ETOH 16OZ 1/EA,EA
0435558,0435558EA,12,CIDEHL STR IPA 16OZ TRG 12,EA
04355720,04355720EA,4,ETHYL ALCHL USP200PRF GLSS,EA
0435580,0435580EA,4,CIDEHOL STRL IPA 1 GAL 1CS,EA
0435585,0435585EA,12,CIDHL STRL ISPRPL 32OZ 1/EA,EA
0540341,0540341PK,2,EPTIPS RELOADS 200UL 480PK,PK
0540343,0540343PK,5,EPTIPS RELOADS 1000UL 192PK,PK
0540345,0540345PK,5,EPTPS RLD .5-2.5ML 10TRY 96/PK,PK
0540346,0540346EA,10,EPTPS RLDS 0.1-10UL PCR EA96,EA
0540348,0540348EA,10,EPTPS RLDS 0.5-20ULLPCR EA96,EA
0540349,0540349PK,2,EPTPS RLD 2-200UL PCRCLN 480PK,PK
0540351,0540351PK,2,EPTPS RLDS50-1000UL PCR 480/PK,PK
0540359,0540359PK,2,EPTPS BLK 50-1000UL 500/PK,PK
0540362,0540362PK,5,EPTPS BLK 0.1-5ML 500TP 100/PK,PK
05408150,05408150PK,2,FLEX FLT 200/PK,PK
05408151,05408151PK,2,FLEX RND 200/PK,PK
05413611,05413611EA,10,EPTIPS384RULOAD 100ULEPQ 384EA,EA
05413916,05413916EA,2,DNALOB 5ML SCRWCAP PCRCL 100PK,PK
05413923,05413923PK,8,TUBES 25ML SCREW STRIL 25PK,PK
05413939,05413939EA,10,EPDUALFILTER1-10UL S PCRSTEA96,EA
05413940,05413940EA,10,EPDUALFILTR.1-10UL M PCRST96EA,EA
05413941,05413941EA,10,EPDUALFLTR.5 5-20UL  PCRST96EA,EA
05413942,05413942EA,10,EPDUALFILTER2-20UL PCRSTEEA96,EA
05413952,05413952EA,10,EPDUALFLTR2-200UL PCRST 1EA/96,EA
05413953,05413953EA,10,EPDUALFILTER 20-300ULPCRST96EA,EA
05413954,05413954EA,10,EPDUALFILTR50-1000UL PCRST96EA,EA
05413999,05413999EA,5,EPTPS RK G . 1-5ML EPQUA 24/EA,EA
05414001,05414001EA,5,EPTPS RK G .5-10ML EPQUA 24/EA,EA
05505,05505EA,12,CENTRIFUGE TUBE 15 ML,EA
05526B,05526BPK,20,CENT TUBE F-CAP 50ML 25/PK,PK
0552790,0552790PK,10,CENT TUBE 15ML W/CAP 50/PK,PK
0553849,0553849PK,20,CENTRIF TBE STL 50ML 25/PK,PK
0553851,0553851PK,10,15MLTUBE PET PLG ST GRD 50/PK,PK
0553853,0553853PK,17,TUBE W/CAPS STER 250ML 6/PK,PK
0553853D,0553853DPK,10,CENT TUBE 15ML PP DISP 50/PK,PK
0553853F,0553853FPK,10,CENT TUBE 15ML PP DISP 50PK,PK
0553855,0553855PK,20,TUBE 50ML W/CAP STERIL 25/PK,PK
0553855A,0553855APK,20,50MLTBE PP\PLGSL\GRD\S 25PK,PK
0553859A,0553859APK,10,TB 15ML CLR PP FLAT CAP 50/PK,PK
0553859B,0553859BPK,10,TB 15ML CLR PP FLT BULK 50/PK,PK
0553860,0553860PK,20,50MLTBE PP\FLATTP\GRD\S 25PK,PK
0553861,0553861PK,6,TUBE CENT CONICAL 225ML 8/PK,PK
0553868,0553868PK,20,CENT TB SLFSTN 50ML FLT 25/PK,PK
0553871A,0553871APK,10,MCT SCW CP W/LOOP 1.5ML 50/PK,PK
05539097,05539097EA,6,CELLSTACK 10 STCK PS S 1/6 EA,EA
05539098,05539098EA,8,CELLSTACK 5-STACK PS S IND EA,EA
055391,055391PK,10,CENT TBE ST PS RK 15ML 50/PK,PK
0553910,0553910PK,20,FB50MLTBEPET\PLUG\GRD\S 25/PK,PK
0553912,0553912PK,10,CENT TB 15ML CLR PP FLT 50/PK,PK
0553913,0553913PK,20,CNT TB PP FLTP 50ML BLK 25/PK,PK
05539200,05539200EA,50,96WL PLT CORNER NOTCH EA,EA
055394,055394PK,10,CENT TBE PP SLV 15ML PG 50/PK,PK
055395,055395PK,10,CENT TBE ST PP RK 15ML 50/PK,PK
055396,055396PK,20,CENT TBE ST PP RK 50ML 25/PK,PK
055397,055397PK,20,CENT TBE ST PP BK 50ML 25/PK,PK
055398,055398PK,20,CENT TUBE PP FLTP 50ML25/PK,PK
055399,055399PK,20,CENT TBE NONST PP 50ML 25/PK,PK
055513,055513PK,5,DILUTION VIAL TRAY 50/PK,PK
055555,055555EA,100,FUNNEL 60MM DISP PS,EA
055556,055556PK,10,FUNNEL 60MM DISP PP 10/PK,PK
0556223,0556223EA,4,CENT BOTTLE 250ML PPCO 1/EA,EA
0556224,0556224EA,4,CENT BOTTLE 500ML PPCO 1/EA,EA
055641,055641EA,4,CENT BTL W/CAP 250ML PPCO 1/EA,EA
055695,055695PK,4,CAP 15-415 F/10-15MLTB 125/PK,PK
05606,05606EA,6,TUBE CENTRIF OIL 100ML,EA
0566944,0566944EA,4,WRK STA UCENT TB 50-PL BL,EA
05713170,05713170EA,10,25MM GD/X.7 GF 150/PK,PK
05713386,05713386EA,50,PURADISC 25 AS 0.2 UM 1/EA,EA
05713387,05713387EA,50,PURADISC 25 AS 0.45 UM 1/EA,EA
05719183,05719183EA,12,BTL AMB B/R CLCR 250ML 1/EA,EA
05719239,05719239EA,12,JAR W/M PLY CLNCERT 1L,EA
05719292,05719292EA,12,JAR W/M AMB TF-LN 120ML,EA
05719519B,05719519BEA,24,JAR 120ML WM SER 100 AMB 1/EA,EA
0571994,0571994EA,6,BOTTLE EPA 1/EA,EA
0571996,0571996EA,4,BOTTLE AMB CERTIFIED 4L 1/EA,EA
05721118,05721118EA,6,4L HDPE BLEACH JUG 1/EA,EA
05721125,05721125EA,4,4L W/M ROUND HDPE 1/EA,EA
05721137,05721137EA,4,4L W/M ROUND HDPE 1EA,EA
05721142,05721142EA,24,4L W/M ROUND HDPE BPC 1/EA,EA
05884C,05884CEA,12,CLMP YELLW JT SZ14 PLAST 1/EA,EA
05884D,05884DEA,12,CLMP BL JT SZ19 PLAST,EA
05884E,05884EEA,12,CLMP GREEN JT SZ24 PLAST 1/EA,EA
05888101,05888101EA,12,FILTER ADAPTER SIZE 2,EA
05888102,05888102EA,12,FILTER ADAPTER SIZE 3,EA
05888103,05888103EA,12,FILTER ADAPTER SIZE 4 1/EA,EA
06402C,06402CPK,3,20ML AMBER SERUM BOTTLE 96/PK,PK
06402D,06402DPK,3,30ML AMBER SERUM BOTTLE 96PK,PK
06402E,06402EPK,4,50ML AMBER SERUM BOTTLE 72/PK,PK
06402F,06402FPK,3,100ML AMBR SERUM BOTTLE 48/PK,PK
0640610B,0640610BPK,10,SLEEVE STOPPER FOR 13X20 100PK,PK
0640611B,0640611BPK,10,FLANGE STOP FOR 13X20 100/PK,PK
0640615,0640615PK,10,ALUMSEAL TEAR-OFF 20MM 100/PK,PK
0640615B,0640615BPK,10,FLIPOFF ALUMSEAL 20MM 100PK,PK
06406D,06406DPK,3,SERUM BOTTLE 10ML 96/PK,PK
06406E,06406EPK,3,SERUM BOTTLE 20ML 96/PK,PK
06406F,06406FPK,3,SERUM BOTTLE 30ML 96/PK,PK
06406G,06406GPK,4,SERUM BOTTLE 50ML 72/PK,PK
06406H,06406HPK,2,SERUM BOTTLE 60ML 72/PK,PK
06406J,06406JPK,3,SERUM BOTTLE 100ML 48/PK,PK
06406K,06406KPK,3,SERUM BOTTLE 125ML 48/PK,PK
064141A,064141AEA,10,BTL MEDIA PYREX 100ML 1/EA,EA
064141B,064141BEA,10,BTL MEDIA PYREX 250ML,EA
064141C,064141CEA,10,BTL MEDIA PYREX 500ML,EA
064141D,064141DEA,10,BTL MEDIA PYREX 1L,EA
064147,064147EA,10,BTL SQ MEDA 500 CAP GL45 1/EA,EA
064148,064148EA,10,BTL SQ MEDA 1L CAO GL45 1/EA,EA
064156,064156PK,20,ROLLR BTL DUR TWN 850CM2 2/PK,PK
064157,064157EA,40,ROLLR BTL DUR BK 850CM2 1/EA,EA
0642116,0642116EA,24,BTL MEDIA GRAD 500ML 1EA,EA
06423B,06423BEA,10,BTL MEDIA STOR CAP 50ML 1EA,EA
0644318,0644318PK,20,FB50MLTBE PP\FLAT\GRD\S 25PK,PK
0644319,0644319PK,20,FB50MLTBE PP\FLAT\GRD\S 25/PK,PK
0644320,0644320PK,20,FB50MLTBEPP\PLUG\GRD\S 25PK,PK
0644323,0644323PK,12,175 VNT CAP FLSK BARCODE 7PK,PK
06447H,06447HPK,10,STOPPER 3/PRONG 20MM 100/PK,PK
06451360,06451360EA,48,16OZ HDPE WM PKR PE LNR 1/EA,EA
06451361,06451361EA,24,32OZ HDPE WM PKR PE LNR 1/EA,EA
06451362,06451362EA,4,3840ML WM HDPE PE LNR 1/EA,EA
0645186,0645186PK,10,SEAL 20MM ALUM TEAR 100/PK,PK
0666538B,0666538BPK,25,GAMMA WIPE 67 STL 10SH 20/PK,PK
06666,06666PK,30,KIMWIPE DELIC TSK WIPE 280PK,PK
06666114,06666114EA,16,TOWL HND SURPAS C-FLD 150/PK,PK
06666114,06666114PK,16,PAPER TOWELS HND SCOTT 150/PK,PK
0666611C,0666611CPK,15,KAYDRY EX-L 2PLY 12X12 119PK,PK
06666130,06666130PK,9,WYPALL GRAB A RAG BOX 90PK,PK
06666132,06666132EA,18,WYPALL QUARTER FOLD,EA
06666132,06666132PK,18,WYPALL QUARTER FOLD 56/PK,PK
066661A,066661APK,15,KIMWIPES DISP 12X12 196/PK,PK
0666630,0666630EA,36,FACIAL TISSUE 1BX/100 TISSUES,EA
0666632B,0666632BPK,12,TOWL HND SURPAS C-FLD 200/PK,PK
0666669,0666669EA,30,SURPASS FACIAL TISSUE WHITE,EA
0666671,0666671EA,48,KLEENEX FACIAL TISSUE,EA
0666671,0666671PK,48,KLNX FACIL 125 TISSUES FOR 1PK,PK
0666695,0666695PK,18,UTLTY WP 2PLY 9X10.5IN 125PK,PK
07000050,07000050PK,10,384W PLT PPN VB CLR 10/PK,PK
07000102,07000102PK,4,96W M600PLT PS FB HB CLR 10/PK,PK
07000110,07000110PK,10,96W PLT FB PPN BLK 10/PK,PK
07000121,07000121EA,50,96W PLT PPN DW 2ML VB CLR 1/EA,EA
07000124,07000124PK,10,96W PLT PS FB CLR UNTRD 10/PK,PK
07000124,07000124EA,100,96W PLT PS FB CLR UNTRD 1EA,EA
07000129,07000129PK,4,96W PLT PS MB CHM BLACK 10PK,PK
07000140,07000140PK,10,96W PLT PS VB CLR CB 10/PK,PK
07000146,07000146EA,100,96W PLT UBOT CHMSTYLE NAT 1/EA,EA
07000159,07000159EA,50,96WPLT PP DW 1ML RB ST CL 1EA,EA
07000162,07000162EA,100,96WPLT PS FB ST TC CLRLD 1/EA,EA
07000169,07000169EA,80,96WPT PP DW HLFML VB STCL 1EA,EA
07000229,07000229EA,5,CELLSTAR T-75 TC ST FLTRCP 1/E,EA
07000229,07000229PK,24,CELLSTAR T-75 TC ST FLTRCP 5PK,PK
07000232,07000232PK,24,CELLSTRDISH 145X20 S 3VNT 5PK,PK
07000257,07000257PK,5,CRYO.S 2ML ID ST SS EXT C 100P,PK
07000271,07000271PK,5,CRYO.S2ML  ID INT NAT CL 100P,PK
07000326,07000326PK,24,PETRI DISH 100X20 6VNT PS 15PK,PK
07000332,07000332PK,8,PETRIDISH 145X20 TRIPVENT 15PK,PK
07000342,07000342EA,15,RACK CRYO.S BLACK TALL LID 1EA,EA
07000367,07000367PK,4,SERO-PIPET 25ML S PLAS WP 50PK,PK
07000370,07000370PK,4,SERO-PIPET 5 S PAPR/PLAS 50PK,PK
07000386,07000386PK,24,TC DISH 100X20 ST TC VENT 15PK,PK
07000407,07000407PK,4,UVSTAR 96W FB CLR 10/PK,PK
07000500,07000500PK,12,50 ML LEUCOSEP TB NOFILL CS250,PK
07000608,07000608PK,4,96W M600PLT PS UB HB CLR 10/PK,PK
07000609,07000609PK,10,96W PLATE UB CLR 10/PK,PK
07000721,07000721PK,4,96HLF-AREA F200MB FB PLT 4PK10,PK
07000724,07000724EA,40,96 HLFAREA UVSTAR FB PLT 1EA,EA
07000873,07000873EA,50,96W DW PLT 2ML ST IND CVB 1EA,EA
07000876,07000876PK,4,384W M600 PLT HB FB CLR 10/PK,PK
07000880,07000880EA,32,384W PLT ST FB CLR LID IN 1EA,EA
07001071,07001071EA,12,SHAKERFLASK250ML BAFFLEDBTM EA,EA
07200103,07200103PK,4,PLT MICR 96-WL RND STYR 25PK,PK
07200105,07200105PK,4,PLT MICR 96-WL RND STYR 25/PK,PK
07200107,07200107EA,48,96WELL V-BTM ASSAY PLATES 1/EA,EA
0720012,0720012PK,4,PIPET 10ML IND 50/PK,PK
07200127,07200127PK,40,RGNT RESERVOIR F/PIPTR 5/PK,PK
07200128,07200128EA,100,RGNT RESERVOIR F/PIPTR 1/EA,EA
07200129,07200129PK,40,RESERVOIR 100ML BULK 5/PK,PK
07200130,07200130PK,100,RESERVOIR 100ML IND BAG 1PK,PK
07200134,07200134PK,4,LOW PRO BIOASSAY DISH 5/PK,PK
07200149,07200149EA,48,TC INSRT 24WL 6.5MM 5UM,EA
0720015,0720015PK,4,00050PIPET 25ML IND 50/PK,PK
0720016,0720016PK,4,PIPET STER 50ML 0.5GRAD 25/PK,PK
07200185,07200185PK,2,MCT CLEAR .65ML GRAD 500/PK,PK
0720019,0720019PK,10,PIPET ASPIRATNG 2ML STR 100/PK,PK
0720020,0720020PK,4,PIPET ASPIRATNG 5ML STR 50/PK,PK
07200210,07200210PK,2,TUBE DOLPHIN 2ML BULK 500/PK,PK
07200293,07200293PK,10,TIP PIPET 1-200UL NAT 1000/PK,PK
07200301,07200301EA,10,TP PIPT 1-200UL STR 96RK 1/EA,EA
07200301,07200301PK,10,TP PIPT 1-200UL STR 96/PK,PK
07200303,07200303PK,10,TP PIPT 1000UL BLU 100/PK,PK
07200304,07200304PK,10,TIP BL 100-1000UL RK ST 100/PK,PK
07200309,07200309PK,5,PLT A12 FB TCT ST PS WH 20/PK,PK
07200320,07200320PK,10,C-TB IND STER 96RKX/PK,PK
07200326,07200326PK,4,PLAT A12 FB PS NT NS WH 25PK,PK
07200329,07200329PK,4,PLATE A12 FB PS NT NS BLK 25PK,PK
07200339,07200339PK,4,PLATE FBTM NT NS PS A12 25PK,PK
0720035,0720035EA,100,EIA PLT FLT BTM HI-BNG,EA
07200364,07200364EA,100,CELL LIFTER,EA
07200365,07200365EA,100,CELL SCRAPER,EA
07200366,07200366EA,100,CELL SCRAPER GIANT EACH,EA
0720037,0720037PK,4,EIA PLT A/2 FLT HI-BNG 25/PK,PK
07200385,07200385PK,4,FLTR CENT TUBE .2CA 24/PK,PK
07200386,07200386EA,100,FLTR CENT TUBE .2CA N/S 1/EA,EA
07200387,07200387PK,4,FLTR CENT TUBE .45CA 24/PK,PK
0720039,0720039PK,4,EIA PLT FLT BTM HI-BNG 25/PK,PK
07200392,07200392PK,2,TB .2ML PCR FLT CP CLR 500/PK,PK
07200420,07200420EA,24,BTL POLYSTYRENE 125ML 1/EA,EA
07200446,07200446EA,12,BTL FLTR II STYRNE 250ML 1EA,EA
07200448,07200448EA,12,BTL FLTR II STYRNE 500ML 1EA,EA
07200535,07200535PK,10,MICRO CENT TUBE 1.7ML 500/PK,PK
07200547,07200547PK,10,PIPETTE 100ML IND 10/PK,PK
07200565,07200565EA,48,TC PLT 96WELL STR W/LID,EA
07200566,07200566EA,48,TC PLT 96WEL CLR BTM LID,EA
07200568,07200568PK,4,TC PLT 96WL WHT UNTREAT 25/PK,PK
07200571,07200571PK,20,STRIPET 1ML PA/PLAS ST 50/PK,PK
07200572,07200572PK,20,STRPET 2ML PA/PLAS 50/PK,PK
07200573,07200573PK,4,STRIPET 5ML PAP/PLAS ST 50/PK,PK
07200574,07200574PK,4,STRPETTE PPER/PLSTC10ML 50/PK,PK
07200575,07200575PK,8,STRIPETTE IN PPR/PLST25ML 25PK,PK
07200576,07200576PK,4,STRPET 50ML PA/PLAS 25/PK,PK
07200588,07200588PK,5,PLT 96WL BLK CLR TRT STR 20PK,PK
07200598,07200598PK,2,LID CORNER NOTCH CLR STR 25/PK,PK
072006,072006PK,20,PIPET 2ML BULK 50/PK,PK
07200603,07200603EA,24,PLT 96WELL ULT LOW ATTCH 1/EA,EA
07200615,07200615PK,2,CRYOGENIC BX 81 COUNT 2ML 5PK,PK
07200615,07200615EA,10,CRYOGENIC BOX 81 COUNT 2ML,EA
07200617,07200617EA,10,CRYGENIC BX 100 COUNT 2ML 1EA,EA
07200621,07200621EA,6,CENTRIFUGE TUBE 500ML 1EA,EA
07200627,07200627PK,5,PLT 96-WL SLD BL W/LD STR 20PK,PK
07200628,07200628PK,5,PLT 96-WL SLD WH W/LD STR 20PK,PK
07200640,07200640PK,4,96WL ROUND BTM HB BULK 25/PK,PK
07200642,07200642PK,4,96WL EASYWASH HIBND 25/PK,PK
07200644,07200644PK,5,PLT 384-WL CLR LID TC/S 20/PK,PK
07200656,07200656PK,5,PLT MICR 96-WL RND STYR 20/PK,PK
07200668,07200668EA,50,250 ERLENMEYER VENT CAP,EA
07200669,07200669EA,25,500 ERLENMEYER VENT CAP,EA
07200670,07200670EA,50,125 ERLENMEYER VENT CAP,EA
07200672,07200672EA,25,1 L. ERLENMEYER VENT CAP,EA
07200695,07200695PK,4,PLATE 96-WL PP VB NT NS 25/PK,PK
07200697,07200697PK,4,PLATE 96-WL PP UBTM NS 25/PK,PK
072007,072007PK,10,PIPET 2ML IND 100/PK,PK
07200700,07200700PK,5,ASSAY BLOCK 2ML STR 96WL 5/PK,PK
07200701,07200701PK,20,2ML ASSAY BLOCK NS BULK 5/PK,PK
07200706,07200706PK,5,96WL FB CNR NCH PLT LID 20/PK,PK
07200720,07200720PK,4,96WL PS R-BTM PLT NOLID 25/PK,PK
07200723,07200723PK,5,0.5ML ASSAY BLOCK STERILE 10PK,PK
07200731,07200731PK,4,SPA PLATE-96 WHT W/NBS 25/PK,PK
07200732,07200732PK,4,SPA PLATE-96 WHT W/NBS 25PK,PK
07200745,07200745PK,4,96WL PP UBTM STRLE STD 25/PK,PK
07200745,07200745EA,100,96L PP UBTM STRLE STD 1/EA,EA
07200748,07200748PK,4,384WL PP PLT STD 25/PK,PK
07200760,07200760PK,5,96W1ASSAY PLTPS RNDW/LID 20/PK,PK
07200761,07200761PK,4,96WWHT PP PLT RNDBTM STD 25/PK,PK
07200762,07200762PK,4,96WL BLKPPPLT RNDBTM STD 25/PK,PK
07200765,07200765PK,4,384WL BLK PP PLT N/S 25/PK,PK
07200777,07200777PK,4,96WL CLR/CLR PLT W/NBS 25/PK,PK
07200791,07200791PK,4,96 WELL WHITE PLATE N/S 25/PK,PK
072008,072008PK,10,PIPET 5ML BULK 50/PK,PK
0720080,0720080PK,20,PLATE 6-WELL TC 16.8ML 5/PK,PK
0720081,0720081PK,20,PLATE 12-WELL TC 6.9ML 5/PK,PK
0720082,0720082EA,50,PLATE 12-WELL TC 7ML,EA
0720083,0720083EA,50,PLATE 6-WELL TC,EA
0720084,0720084EA,100,PLATE 24-WELL 3.4ML,EA
07200848,07200848PK,2,96 WELL PLT UV NT NS RNA 25/PK,PK
0720086,0720086EA,100,PLATE 48-WELL 1.6ML,EA
0720087,0720087PK,10,PLATE 96-WELL 0.1 -0.2ML 5/PK,PK
0720087,0720087EA,50,PLATE 96-WELL 0.1 -0.2ML 1/EA,EA
07200873,07200873EA,50,PLT 1536WL BCB NBS 1EA SPLT 15,EA
07200886,07200886PK,10,CENT TBE PP SLV 15ML FT  50/PK,PK
0720089,0720089EA,50,PLT 96 WELL LOW EVP .365,EA
072009,072009PK,4,PIPET 5ML IND 50EA/PK,PK
0720090,0720090EA,50,PLT 96-WELL FLT BTM .365,EA
0720091,0720091PK,20,PLT 96-WELL FLAT .365ML 005/PK,PK
0720092,0720092EA,100,PLT 96-WELL FLAT .365ML 1/EA,EA
07200926,07200926EA,4,5.0L FLASK VENT BAFFLE 1/EA,EA
07200927,07200927EA,4,ERL FLASK PLCB PLN BTM 5L 1/EA,EA
