Parent,Child,Conversion,Child Vendor Name,Child Description,Parent Description,Child QSU,Child SU,Parent QSU,Parent SU
0255525C,0255525CEA,12,CORNING LIFE SCIENCES GLASS,BEAKER HEVI DUTY 400ML,BEAKER HEVI DUTY 400ML 12/PK,00001,EA,00012,PK
0259110AA,0259110AAEA,12,THERMO SCI ROCHESTER,BEAKER GRIFFIN PA 30ML 1EA,BEAKER GRIFFIN PA 30ML 12/PK,00001,EA,00012,PK
0259110B,0259110BEA,12,THERMO SCI ROCHESTER,BEAKER GRIFFIN PP 100ML,BEAKER GRIFFIN PP 100ML 12/PK,00001,EA,00012,PK
02612D,02612DEA,12,CORNING LIFE SCIENCES GLASS,BS34694COVER 100MM,BEAKER COVER 100MM 12/PK,00001,EA,00012,PK
028934D,028934DEA,12,THERMO SCI ROCHESTER,BOTTLE WM LDPE 16 OZ 1/EA,BOTTLE WM LDPE 16 OZ 12/PK,00001,EA,00012,PK
028935A,028935AEA,12,THERMO SCI ROCHESTER,BOTTLE WM HDPE 1OZ,BOTTLE WM HDPE 1OZ 12/PK,00001,EA,00012,PK
028935B,028935BEA,12,THERMO SCI ROCHESTER,BOTTLE WM HDPE 2OZ 1EA,BOTTLE WM HDPE 2OZ 12/PK,00001,EA,00012,PK
028935C,028935CE,12,THERMO SCI ROCHESTER,BOTTLE WM LPE 4 OZ,BOTTLE WM HDPE 4OZ 12/PK,00001,EA,00012,PK
028935D,028935DEA,12,THERMO SCI ROCHESTER,BOTTLE WM HDPE 8OZ,BOTTLE WM HDPE 8OZ W/CAPS 12PK,00001,EA,00012,PK
028935E,028935EEA,12,THERMO SCI ROCHESTER,BOTTLE WIDEMOUTH HDPE 16OZ,BOTTLE WM HDPE 16OZ 12/PK,00001,EA,00012,PK
02893A,02893AEA,12,THERMO SCI ROCHESTER,BOTTLE WM PP 4 OZ,BOTTLE WM PP 4 OZ 12/PK,00001,EA,00012,PK
02893AA,02893AAEA,12,THERMO SCI ROCHESTER,BOTTLE WM PP 1 OZ,BOTTLE WM PP 1 OZ 12/PK,00001,EA,00012,PK
02893B,02893BEA,12,THERMO SCI ROCHESTER,BOTTLE WM PP 8 OZ,BOTTLE WM PP 8 OZ 12/PK,00001,EA,00012,PK
02893C,02893CEA,12,THERMO SCI ROCHESTER,BOTTLE WM PP 16OZ,BOTTLE WM PP 16OZ 12/PK,00001,EA,00012,PK
028961C,028961CEA,12,THERMO SCI ROCHESTER,BOTTLE WM LDPE 4 OZ EA,BOTTLE WM LDPE 4 OZ 12/PK,00001,EA,00012,PK
028961D,028961DEA,12,THERMO SCI ROCHESTER,BOTTLE WM LDPE 8 OZ 1/EA,BOTTLE WM LDPE 8 OZ 12/PK,00001,EA,00012,PK
028961E,028961EEA,12,THERMO SCI ROCHESTER,BOTTLE WM LDPE 16OZ EA,BOTTLE WM LDPE 16OZ 12/PK,00001,EA,00012,PK
028962A,028962AEA,12,THERMO SCI ROCHESTER,BOTTLE WM HDPE 1 OZ,BOTTLE WM HDPE 1 OZ 12/PK,00001,EA,00012,PK
028962B,028962BEA,12,THERMO SCI ROCHESTER,BOTTLE WM HDPE 2 OZ,BOTTLE WM HDPE 2 OZ 12/PK,00001,EA,00012,PK
028962C,028962CEA,12,THERMO SCI ROCHESTER,BOTTLE WM 125ML,BOTTLE WM 125ML 12/PK,00001,EA,00012,PK
028962D,028962DEA,12,THERMO SCI ROCHESTER,BOTTLE WM 250ML,BOTTLE WM 250ML 12/PK,00001,EA,00012,PK
028962E,028962EEA,12,THERMO SCI ROCHESTER,BOTTLE WM 500ML,BOTTLE WM 500ML 12/PK,00001,EA,00012,PK
02896B,02896BEA,12,THERMO SCI ROCHESTER,BOTTLE WM PP 2OZ,BOTTLE WM PP 2OZ 12/PK,00001,EA,00012,PK
02896C,02896CEA,12,THERMO SCI ROCHESTER,BOTTLE WM PP 4OZ,BOTTLE WM PP 4OZ 12/PK,00001,EA,00012,PK
02896D,02896DEA,12,THERMO SCI ROCHESTER,BOTTLE WM PP 8OZ,BOTTLE WM PP 8OZ 12/PK,00001,EA,00012,PK
02896E,02896EEA,12,THERMO SCI ROCHESTER,BOTTLE WM PP 16OZ,BOTTLE WM PP 16OZ 12/PK,00001,EA,00012,PK
02911324,02911324EA,12,DWK LIFE SCIENCES LLC,BTL GLS CLR BST RND 1EA,BTL GLS CLR BST RND 12CS,00001,EA,00012,CS
02911361,02911361EA,12,DWK LIFE SCIENCES LLC,BTL GLS AMB BST RND 1EA,BTL GLS AMB BST RND 12CS,00001,EA,00012,CS
02912146,02912146EA,12,DWK LIFE SCIENCES LLC,BTL GLS AMB PCKR WM WHTN 1EA,BTL GLS AMB PCKR WM WHTN 12CS,00001,EA,00012,CS
02912153,02912153EA,12,DWK LIFE SCIENCES LLC,BTL GLS AMB PCKR WM WHTN 1EA,BTL GLS AMB PCKR WM WHTN 12CS,00001,EA,00012,CS
02912154,02912154EA,12,DWK LIFE SCIENCES LLC,BTL GLS AMB PCKR WM WHTN 1EA,BTL GLS AMB PCKR WM WHTN 12CS,00001,EA,00012,CS
029238A,029238AEA,12,THERMO SCI ROCHESTER,BOTTLE NM HDPE 1/2OZ,BOTTLE NM HDPE 1/2OZ 12/PK,00001,EA,00012,PK
029238E,029238EEA,12,THERMO SCI ROCHESTER,BOTTLE NM AMBER 1/2OZ 1/EA,BOTTLE NM AMBER 1/2OZ 12/PK,00001,EA,00012,PK
02923A,02923AEA,12,THERMO SCI ROCHESTER,BOTTLE NM HDPE 1OZ 1EA,BOTTLE NM HDPE 1OZ 12/PK,00001,EA,00012,PK
02923B,02923BEA,12,THERMO SCI ROCHESTER,BOTTLE NM LPE 2 OZ,BOTTLE NM HDPE 2OZ 12/PK,00001,EA,00012,PK
02923C,02923CEA,12,THERMO SCI ROCHESTER,BOTTLE NM HDPE 4OZ,BOTTLE NM HDPE 4OZ 12/PK,00001,EA,00012,PK
02923D,02923DEA,12,THERMO SCI ROCHESTER,BOTTLE NM HDPE 8OZ,BOTTLE NM HDPE 8OZ 12/PK,00001,EA,00012,PK
02923E,02923EEA,12,THERMO SCI ROCHESTER,BOTTLE NM HDPE 16OZ,BOTTLE NM HDPE 16OZ 12/PK,00001,EA,00012,PK
0292410E,0292410EEA,12,THERMO SCI ROCHESTER,BOTTLE RECTANG AMB 16OZ 1EA,BOTTLE RECTANG AMB 16OZ 12/PK,00001,EA,00012,PK
0292422,0292422EA,12,THERMO SCI ROCHESTER,BTL WM AMBER 16OZ HDPE,BTL WM AMBER 16OZ HDPE 12/PK,00001,EA,00012,PK
029253A,029253AEA,12,THERMO SCI ROCHESTER,BOTTLE WM AMBER 1OZ,BOTTLE WM AMBER 1OZ 12/PK,00001,EA,00012,PK
029253C,029253CEA,12,THERMO SCI ROCHESTER,BOTTLE WM AMBER 4OZ 1/EA,BOTTLE WM AMBER 4OZ 12/PK,00001,EA,00012,PK
029253D,029253DEA,12,THERMO SCI ROCHESTER,BOTTLE WM AMBER 8OZ HDPE,BOTTLE WM AMBER 8OZ HDPE 12/PK,00001,EA,00012,PK
02925C,02925CEA,12,THERMO SCI ROCHESTER,BOTTLE NM PP 4OZ 1EA,BOTTLE NM PP 4OZ 12/PK,00001,EA,00012,PK
02986C,02986CEA,12,CORNING LIFE SCIENCES GLASS,BOTTLE DROPPING 125ML 1/EA,BOTTLE DROPPING 125ML 12/CS,00001,EA,00012,CS
02991A,02991AEA,12,DWK LIFE SCIENCES LLC,BTL AMB W/GL DROPR 30ML,BTL AMB W/GL DROPR 30ML 12/CS,00001,EA,00012,CS
02991C,02991CEA,12,DWK LIFE SCIENCES LLC,BTL AMB W/GL DROPR 60ML 1EA,BTL AMB W/GL DROPR 60ML 12/CS,00001,EA,00012,CS
02992415,02992415EA,12,QORPAK,16OZ CL SSR F217 PTFE,16OZ CL SSR F217 PTFE 12CS,00001,EA,00012,CS
0300754,0300754EA,12,THERMO SCI ROCHESTER,FB WM AMB BOT HDPE 500ML 1/EA,FB WM AMB BOT HDPE 500ML 12PK,00001,EA,00012,PK
03084162,03084162EA,12,DWK LIFE SCIENCES LLC,250ML BTL ST SD TYPIIIAMB PE L,250ML BTL ST SD TYPIIIAMB PE L,1,EA,12,CS
033104,033104EA,12,THERMO SCI ROCHESTER,BOTTLE SQUARE PP 500ML,BOTTLE SQUARE PP 500ML 12/PK,00001,EA,00012,PK
033111R,033111REA,12,THERMO SCI ROCHESTER,BOTTLE SQUARE 250ML 1EA,BOTTLE SQUARE 250ML 12/PK,00001,EA,00012,PK
033111X,033111XEA,12,THERMO SCI VAC BIO,BTL SQ MEDIA STR 2000ML 1/EA,BTL SQ MEDIA STR 2000ML 12/CS,00001,EA,00012,CS
03312C,03312CEA,12,THERMO SCI ROCHESTER,BOTTLE SQUARE HDP 16 OZ 1/EA,BOTTLE SQUARE HDP 16 OZ 12/PK,00001,EA,00012,PK
0343814B,0343814BEA,12,DYNALON PRODUCTS,BOTTLE LGTWGH HDPE 1GAL 1EA,BOTTLE LGTWGH HDPE 12X1GAL,00001,EA,00012,CS
0352536,0352536EA,12,SONOCO PROTECTIVE SOLUTIONS THERMOS,INSULTED MAILER 6WX8LX7H 1/EAS,INSULTED MAILER 6WX8LX7H 12/PK,00001,EA,00012,PK
03570B,03570BEA,12,GORDON BRUSH MFG CO INC,BRUSH FOR 500ML FLASK 1EA,BRUSH FOR 500ML FLASK 12/PK,00001,EA,00012,PK
03574,03574EA,12,C&A SCIENTIFIC CO INC,BRUSH TEST TUBE MEDIUM,BRUSH TEST TUBE MEDIUM 12/PK,00001,EA,00012,PK
03576,03576EA,12,C&A SCIENTIFIC CO INC,BRUSH TEST TUBE SMALL,BRUSHTEST TUBE SMALL 12/PK,00001,EA,00012,PK
03578,03578EA,12,C&A SCIENTIFIC CO INC,BRUSH TEST TUBE,BRUSH TEST TUBE 12/PK,00001,EA,00012,PK
03590,03590EA,12,C&A SCIENTIFIC CO INC,BRUSH TEST TUBE,BRUSH TEST TUBE 12/PK,00001,EA,00012,PK
03600222,03600222EA,12,SONOCO PROTECTIVE SOLUTIONS THERMOS,NOMADIC PRE-QUALIFIED FROZEN S,NOMADIC PRE-QUALIFIED FROZEN S,00001,EA,00012,CS
03608,03608EA,12,C&A SCIENTIFIC CO INC,BRUSH CENT TUBE 9IN,BRUSH CENT TUBE 9IN 12/PK,00001,EA,00012,PK
03621A,03621AEA,12,C&A SCIENTIFIC CO INC,BRUSH CYLINDER 12 IN,BRUSH CYLINDER 12 IN,00001,EA,00012,PK
03621B,03621BEA,12,C&A SCIENTIFIC CO INC,BRUSH CYLINDER 20 IN 1EA,BRUSH CYLINDER 20 IN,00001,EA,00012,PK
03621C,03621CEA,12,C&A SCIENTIFIC CO INC,BRUSH 30IN F/LIQ EXTRCTR 1EA,BRUSH 30IN F/LIQ EXTRCTR 12PK,00001,EA,00012,PK
03635,03635EA,12,C&A SCIENTIFIC CO INC,BRUSH STIFF BRISTLE,BRUSH STIFF BRISTLE 12/PK,00001,EA,00012,PK
0364020,0364020EA,12,GORDON BRUSH MFG CO INC,BRUSH SMALL TRACHEA TUBE 1/EA,BRUSH SMALL TRACHEA TUBE 12/PK,00001,EA,00012,PK
03670,03670EA,12,C&A SCIENTIFIC CO INC,BRUSH CAMEL HAIR 5MM,BRUSH CAMEL HAIR 5MM 12/PK,00001,EA,00012,PK
04355309,04355309EA,12,DECON LABORATORIES INC,ETHYL ALCOHOL 140 PROOF 1EA,ETHYL ALCOHOL 140 PROOF 12/CS,00001,EA,00012,CS
0435556,0435556EA,12,DECON LABORATORIES INC,SANHOL STL ETOH 16OZ 1/EA,SANHOL STL ETOH 16OZ 12/CS,00001,EA,00012,CS
0435558,0435558EA,12,DECON LABORATORIES INC,CIDEHL STR IPA 16OZ TRG 12,CDIHL STR IPA 16OZ TRG 12CS,00001,EA,00012,CS
0435585,0435585EA,12,DECON LABORATORIES INC,CIDHL STRL ISPRPL 32OZ 1/EA,CIDHL STRL ISPRPL 32OZ 12CS,00001,EA,00012,CS
05505,05505EA,12,CORNING LIFE SCIENCES GLASS,CENTRIFUGE TUBE 15 ML,CENTRIFUGE TUBE 15 ML 12/CS,00001,EA,00012,CS
05719183,05719183EA,12,THERMO SCI EP SCIENTIFIC PDTS,BTL AMB B/R CLCR 250ML 1/EA,BTL AMB B/R CLCR 250ML 12/CS,00001,EA,00012,CS
05719239,05719239EA,12,THERMO SCI EP SCIENTIFIC PDTS,JAR W/M PLY CLNCERT 1L,JAR W/M PLY CLNCERT 1L 12/CS,00001,EA,00012,CS
05719292,05719292EA,12,THERMO SCI EP SCIENTIFIC PDTS,JAR W/M AMB TF-LN 120ML,JAR W/M AMB TF-LN 120ML 12/CS,00001,EA,00012,CS
05884C,05884CEA,12,DWK LIFE SCIENCES LLC,CLMP YELLW JT SZ14 PLAST 1/EA,CLMP YELLW JT SZ14 PLAST 12/CS,00001,EA,00012,CS
05884D,05884DEA,12,DWK LIFE SCIENCES LLC,CLMP BL JT SZ19 PLAST,CLMP BL JT SZ19 PLAST 12/CS,00001,EA,00012,CS
05884E,05884EEA,12,DWK LIFE SCIENCES LLC,CLMP GREEN JT SZ24 PLAST 1/EA,CLMP GREEN JT SZ24 PLAST 12/CS,00001,EA,00012,CS
05888102,05888102EA,12,BAL SUPPLY LLC,FILTER ADAPTER SIZE 3,FILTER ADAPTER SIZE 3 12/PK,00001,EA,00012,PK
05888103,05888103EA,12,BAL SUPPLY LLC,FILTER ADAPTER SIZE 4 1/EA,FILTER ADAPTER SIZE 4 12/PK,00001,EA,00012,PK
0644323,0644323PK,12,CORNING LIFE SCIENCES PLASTIC,175 VNT CAP FLSK BARCODE 7PK,175 VNT CAP FLSK BARCODE 84/CS,00007,PK,00084,CS
0666632B,0666632BPK,12,KIMBERLY CLARK CORPORATION,TOWL HND SURPAS C-FLD 200/PK,TOWL HND SURPAS C-FLD 2400/CS,00200,PK,02400,CS
07000500,07000500PK,12,GREINER BIO ONE BIOSCIENCES NORTH AMER,50 ML LEUCOSEP TB NOFILL CS250,50 ML LEUCOSEP TB NOFILL CS300,00025,PK,00300,CS
07200446,07200446EA,12,CORNING LIFE SCIENCES PLASTIC,BTL FLTR II STYRNE 250ML 1EA,BTL FLTR II STYRNE 250ML 12/CS,00001,EA,00012,CS
07201153,07201153EA,12,CORNING LIFE SCIENCES PLASTIC,SPINNER FLASK 500ML EA,SPINNER FLASK 500ML 12/CS,00001,EA,00012,CS
07202124,07202124EA,12,CORNING LIFE SCIENCES GLASS,PLASTIC FUNNEL 100MM EA,PLASTIC FUNNEL 100MM 12/CS,00001,EA,00012,CS
07202150,07202150PK,12,CORNING LIFE SCIENCES PLASTIC,MINI BIOREACT 50ML CT 25/PK,MINI BIOREACT 50ML CT 300/CS,00025,PK,00300,CS
07203510,07203510PK,12,CORNING LIFE SCIENCES PLASTIC,CENTRIFE TUBE CAPRACK 25/PK,CENTRIFE TUBE CAPRACK 300CS,00025,PK,00300,CS
07250056,07250056EA,12,CORNING LIFE SCIENCES GLASS,70000 BKR PYRX VST 250ML 1/EA,70000 BKR PYRX VST 250ML12/PK,00001,EA,00012,PK
07770212,07770212EA,12,CORNING LIFE SCIENCES GLASS,PRX VSTA PETRI DSH 60X15 1EA,PRX VSTA PETRI DSH 60X15 12/PK,00001,EA,00012,PK
0854911C,0854911CEA,12,CORNING LIFE SCIENCES GLASS,CYL CLA WHIT DBL SCL 100ML,CYL CLA WHIT DBL SCL 100 12/CS,00001,EA,00012,CS
08747A,08747AEA,12,CORNING LIFE SCIENCES GLASS,DISH PETRI 60X15MM,DISH PETRI 60X15MM 12/PK,00001,EA,00012,PK
08747B,08747BEA,12,CORNING LIFE SCIENCES GLASS,DISH PETRI 100X10MM,DISH PETRI 100X10MM 12/PK,00001,EA,00012,PK
08747C,08747CEA,12,CORNING LIFE SCIENCES GLASS,DISH PETRI 100X15MM,DISH PETRI 100X15MM 12/PK,00001,EA,00012,PK
08747D,08747DEA,12,CORNING LIFE SCIENCES GLASS,DISH PETRI 100X20MM,DISH PETRI 100X20MM 12/PK,00001,EA,00012,PK
08747E,08747EEA,12,CORNING LIFE SCIENCES GLASS,DISH PETRI 150X15MM,DISH PETRI 150X15MM 12/PK,00001,EA,00012,PK
08747F,08747FEA,12,CORNING LIFE SCIENCES GLASS,DISH PETRI 150X20MM,DISH PETRI 150X20MM 12/PK,00001,EA,00012,PK
0877224,0877224PK,12,CORNING LIFE SCIENCES PLASTIC,TIS CUL DISH 150X25MM 5/PK,TIS CUL DISH 150X25MM 60/CS,00005,PK,00060,CS
0877225,0877225PK,12,CORNING LIFE SCIENCES PLASTIC,SUSPENSN DISH 150X25MM 5/PK,SUSPENSN DISH 150X25MM 60/CS,00005,PK,00060,CS
097401A,097401AEA,12,THERMO SCI ROCHESTER,FILT UN STL .20UM 150ML,FILT UN STL .20UM 150ML 12/CS,00001,EA,00012,CS
0974021B,0974021BEA,12,THERMO SCI ROCHESTER,FILTER UNIT ANAL .45UM 1EA,FILTER UNIT ANAL .45UM 12/PK,00001,EA,00012,PK
0974024A,0974024AEA,12,THERMO SCI ROCHESTER,FLTR UN TC .20UM 250ML,FLTR UN TC .20UM 250ML 12/CS,00001,EA,00012,CS
0974025A,0974025AEA,12,THERMO SCI ROCHESTER,FILTER UNIT .20UM 500ML,FILTER UNIT .20UM 500ML 12/CS,00001,EA,00012,CS
0974025B,0974025BEA,12,THERMO SCI ROCHESTER,FILTER UNIT .45UM 1EA,FILTER UNIT .45UM 12/CS,00001,EA,00012,CS
0974025C,0974025CEA,12,THERMO SCI ROCHESTER,FILTER UN RECEIVR 500ML,FILTER UN RECEIVR 500ML 12/CS,00001,EA,00012,CS
0974025F,0974025FEA,12,THERMO SCI ROCHESTER,FILTER UN RECEIV 1000ML 1EA,FILTER UN RECEIV 1000ML 12/CS,00001,EA,00012,CS
0974026A,0974026AEA,12,THERMO SCI ROCHESTER,FLTR UN TC .20UM 1000ML 1/EA,FLTR UN TC .20UM 1000ML 12/CS,00001,EA,00012,CS
0974026B,0974026BEA,12,THERMO SCI ROCHESTER,FLTR UN TC .45UM 1000ML 1/EA,FLTR UN TC .45UM 1000ML 12/CS,00001,EA,00012,CS
0974028C,0974028CEA,12,THERMO SCI ROCHESTER,FLTR UNIT TC .20UM 500ML 1/EA,FLTR UNIT TC .20UM 500ML 12/CS,00001,EA,00012,CS
0974028D,0974028DEA,12,THERMO SCI ROCHESTER,FLTR UNIT TC .45UM 500ML 1/EA,FLTR UNIT TC .45UM 500ML 12/CS,00001,EA,00012,CS
0974028E,0974028EEA,12,THERMO SCI ROCHESTER,FILTR UN TC .20UM 150ML 1/EA,FILTR UN TC .20UM 150ML 12/CS,00001,EA,00012,CS
0974028F,0974028FEA,12,THERMO SCI ROCHESTER,FILTER UN TC .45UM 150ML 1EA,FILTER UN TC .45UM 150ML 12/CS,00001,EA,00012,CS
097402A,097402AEA,12,THERMO SCI ROCHESTER,FILT UN STL .20UM 250ML 1EA,FILT UN STL .20UM 250ML 12/CS,00001,EA,00012,CS
097402B,097402BEA,12,THERMO SCI ROCHESTER,FILT UN STL .45UM 250ML 1/EA,FILT UN STL .45UM 250ML 12/CS,00001,EA,00012,CS
0974031F,0974031FEA,12,THERMO SCI ROCHESTER,FILTR UN TC .20UM 150ML,FILTR UN TC .20UM 150ML 12/CS,00001,EA,00012,CS
0974032,0974032EA,12,THERMO SCI ROCHESTER,FLT TC LRG ST .2UM 500ML,FLT TC LRG ST .2UM 500ML 12/CS,00001,EA,00012,CS
0974036K,0974036KEA,12,THERMO SCI ROCHESTER,FLTR UNIT CN .2UM 115ML 1/EA,FLTR UNIT CN .2UM 115ML 12/PK,00001,EA,00012,PK
0974036L,0974036LEA,12,THERMO SCI ROCHESTER,FLTR UNIT CN .45UM 115ML 1EA,FLTR UNIT CN .45UM 115ML 12/PK,00001,EA,00012,PK
0974039A,0974039AEA,12,THERMO SCI ROCHESTER,FILTR UN TC .20UM 1/EA,FILTR UN TC .20UM 12/CS,00001,EA,00012,CS
0974039B,0974039BEA,12,THERMO SCI ROCHESTER,FILTR UN TC .45UM 250ML 1/EA,FILTR UN TC .45UM 250ML 12/CS,00001,EA,00012,CS
097403A,097403AEA,12,THERMO SCI ROCHESTER,FILT UN STL .2UM 1000ML 1/EA,FILT UN STL .2UM 1000ML 12/CS,00001,EA,00012,CS
097403B,097403BEA,12,THERMO SCI ROCHESTER,FILT UN ST .45UM 1000ML 1/EA,FILT UN ST .45UM 1000ML 12/CS,00001,EA,00012,CS
097403C,097403CEA,12,THERMO SCI ROCHESTER,FILT UN ST .80UM 1000ML 1/EA,FILT UN ST .80UM 1000ML 12/CS,00001,EA,00012,CS
0974040A,0974040AEA,12,THERMO SCI ROCHESTER,FILT UN TC .20UM 1000ML 1/EA,FILT UN TC .20UM 1000ML 12/CS,00001,EA,00012,CS
0974040B,0974040BEA,12,THERMO SCI ROCHESTER,FILT UN TC .45UM 1000ML 1/EA,FILT UN TC .45UM 1000ML 12/CS,00001,EA,00012,CS
0974043A,0974043AEA,12,THERMO SCI ROCHESTER,FLT UNT MDIA PLS .2UM 1L 1/EA,FLT UNT MDIA PLS .2UM 1L 12/CS,00001,EA,00012,CS
0974043B,0974043BEA,12,THERMO SCI ROCHESTER,FLTR MEDIA PLUS .45UM 1L 1/EA,FLTR MEDIA PLUS .45UM 1L 12/CS,00001,EA,00012,CS
0974044A,0974044AEA,12,THERMO SCI ROCHESTER,SERM FLT UNT .20UM 500ML  1EA,SERM FLT UNT .20UM 500ML 12/CS,00001,EA,00012,CS
0974046,0974046EA,12,THERMO SCI ROCHESTER,1L FILTER 0.20UM STERILE 1/EA,FLT UNT MDIA PLU .20UM 1L 12CS,00001,EA,00012,CS
0974063A,0974063AEA,12,THERMO SCI ROCHESTER,FLT UNIT 50MM 150ML PES 1EA,FLT UNIT 50MM 150ML PES 12/CS,00001,EA,00012,CS
0974063B,0974063BEA,12,THERMO SCI ROCHESTER,FLT UNIT 50MM 500ML PES 1/EA,FLT UNIT 50MM 500ML PES 12/CS,00001,EA,00012,CS
0974063C,0974063CEA,12,THERMO SCI ROCHESTER,FLT UNIT 90MM 1LTR PES 1EA,FLT UNIT 90MM 1LTR PES 12/CS,00001,EA,00012,CS
0974063D,0974063DEA,12,THERMO SCI ROCHESTER,FLT UNIT 50MM 250ML PES,FLT UNIT 50MM 250ML PES 12/CS,00001,EA,00012,CS
0974063E,0974063EEA,12,THERMO SCI ROCHESTER,FLT UNIT 90MM 500ML PES,FLT UNIT 90MM 500ML PES 12/CS,00001,EA,00012,CS
0974064B,0974064BEA,12,THERMO SCI ROCHESTER,FLT 500ML 45MM NECK PES 1EA,FLT 500ML 45MM NECK PES 12/CS,00001,EA,00012,CS
0974101,0974101EA,12,THERMO SCI ROCHESTER,FLTR UTA-PES150ML50D.2 1EA,FLTR UTA-PES150ML50D.2 12CS,00001,EA,00012,CS
0974102,0974102EA,12,THERMO SCI ROCHESTER,FLTR UTA-PES500ML75D.2 EACH,FLTR UTA-PES500ML75D.2 12CS,00001,EA,00012,CS
0974103,0974103EA,12,THERMO SCI ROCHESTER,FLTR UTA-PES1L90MM0.2,FLTR UTA-PES1L90MM0.2 12CS,00001,EA,00012,CS
0974104,0974104EA,12,THERMO SCI ROCHESTER,FLTR UTA-PES250ML50D.2 EACH,FLTR UTA-PES250ML50D.2 12CS,00001,EA,00012,CS
0974105,0974105EA,12,THERMO SCI ROCHESTER,FLTR UTA-PES500ML90D.2 1/EA,FLTR UTA-PES500ML90D.2 12CS,00001,EA,00012,CS
0974106,0974106EA,12,THERMO SCI ROCHESTER,FLTRBTPA-PES33MM500ML,FLTRBTPA-PES33MM500ML 12CS,00001,EA,00012,CS
0974107,0974107EA,12,THERMO SCI ROCHESTER,FLTRBTPA-PES45MM500ML EACH,FLTRBTPA-PES45MM500ML 12CS,00001,EA,00012,CS
0974108,0974108EA,12,THERMO SCI ROCHESTER,FLTRBTPA-PES33MM150ML,FLTRBTPA-PES33MM150ML 12CS,00001,EA,00012,CS
0974109,0974109EA,12,THERMO SCI ROCHESTER,FLTRBTPA-PES45MM150ML 1EA,FLTRBTPA-PES45MM150ML 12CS,00001,EA,00012,CS
0974111,0974111EA,12,THERMO SCI ROCHESTER,FLTRBTLTPA-PES45MM1L 1/EA,FLTRBTLTPA-PES45MM1L 12CS,00001,EA,00012,CS
09741201,09741201EA,12,THERMO SCI ROCHESTER,LTR PES 250ML 0.1UM 1EA,FLTR PES 250ML 0.1UM CS12,00001,EA,00012,CS
0974188,0974188EA,12,THERMO SCI ROCHESTER,FLTR UNIT A-PES 50ML 1/EAFLTR,FLTR UNIT A-PES 50ML 12/CSFLT,00001,EA,00012,CS
097611,097611EA,12,CORNING LIFE SCIENCES PLASTIC,SYS FILTR .22UM STR DSP,SYS FILTR .22UM STR DSP 12/CS,00001,EA,00012,CS
0976110,0976110PK,12,CORNING LIFE SCIENCES PLASTIC,BOTTTLE DISP STERIL 500ML 2/PK,BTL DISP STERIL 500ML 24/CS,00002,PK,00024,CS
09761102,09761102EA,12,CORNING LIFE SCIENCES PLASTIC,FIL SYS 500ML .22UM 70MM 1EA,FIL SYS 500ML .22UM 70MM 12/CS,00001,EA,00012,CS
09761104,09761104EA,12,CORNING LIFE SCIENCES PLASTIC,FIL SYS 1L .22UM 90MM CN 1EA,FIL SYS 1L .22UM 90MM CN 12/CS,00001,EA,00012,CS
09761106,09761106EA,12,CORNING LIFE SCIENCES PLASTIC,FLT PES 250/250 .22UM,FLT PES 250/250 .22UM 12/CS,00001,EA,00012,CS
09761107,09761107EA,12,CORNING LIFE SCIENCES PLASTIC,FLT PES 500/500 .22UM,FLT PES 500/500 .22UM 12/CS,00001,EA,00012,CS
09761108,09761108EA,12,CORNING LIFE SCIENCES PLASTIC,FLT PES 1 L/1 L .22UM 1/EA,FLT PES 1 L/1 L .22UM 12/CS,00001,EA,00012,CS
0976111,0976111PK,12,CORNING LIFE SCIENCES PLASTIC,BOTTLE STORAGE 1 LITER 2/PK,BTL STORAGE 1 LITER 24/CS,00002,PK,00024,CS
09761112,09761112EA,12,CORNING LIFE SCIENCES PLASTIC,FLT PES B/T 45MM .22UM 1/EA,FLT PES B/T 45MM .22UM 12/CS,00001,EA,00012,CS
09761118,09761118EA,12,CORNING LIFE SCIENCES PLASTIC,FLTR SYST 150ML .22 PES 1EA,FLTR SYST 150ML .22 PES 12/CS,00001,EA,00012,CS
09761119,09761119EA,12,CORNING LIFE SCIENCES PLASTIC,FLTR SYST 150ML .22 CA,FLTR SYST 150ML .22 CA 12/CS,00001,EA,00012,CS
09761120,09761120EA,12,CORNING LIFE SCIENCES PLASTIC,FLTR SYST 150ML .45 CA 01/EA,FLTR SYST 150ML .45 CA 12/CS,00001,EA,00012,CS
09761140,09761140PK,12,CORNING LIFE SCIENCES PLASTIC,BOTTLE STORAGE 150ML STR 2/PK,BOTTLE STORAGE 150ML STR 24/CS,00002,PK,00024,CS
09761141,09761141EA,12,CORNING LIFE SCIENCES PLASTIC,1L FLTR SYS W/500ML FNL .22CA,1LFLTSYS 0.5LFUNL .22POR 12/CS,00001,EA,00012,CS
09761142,09761142EA,12,CORNING LIFE SCIENCES PLASTIC,1L FLTR SYS W/500ML FNL .45CA,1LFLTSYS 0.5LFUNL .45POR 12/CS,00001,EA,00012,CS
09761147,09761147EA,12,CORNING LIFE SCIENCES PLASTIC,500ML BTL TP 45MM .20NY 1EA,500ML BTL TP 45MM .20NY 12/CS,00001,EA,00012,CS
097612,097612EA,12,CORNING LIFE SCIENCES PLASTIC,SYS FILTR .22UM STL DSP,FILTR .20UM STL DSP 12/CS,00001,EA,00012,CS
